"ano";"mês";"Cod";"Cód índ";"Valor índ"
2020;12;10;2;0
2020;12;10;3;0,150510436366765
2020;12;10;4;0
2020;12;10;5;0,0536817692600498
2020;12;10;6;0,0781298006923241
2020;12;10;11;0,117233294255569
2020;12;10;12;0,020525
2020;12;10;16;0,109667488809057
2020;12;10;10;0,0325265451645364
2020;12;10;22;0
2020;12;10;28;0
2020;12;10;26;0
2020;12;10;27;0,619261880350862
2020;12;10;9;0,13769534690563
2020;12;10;30;0
2020;12;10;31;0
2020;12;10;32;0
2020;12;10;8;0
2020;12;10;1;0,0331358395472538
2020;12;10;15;0,0354672814328782
2020;12;10;24;0,0368677006896883
2020;12;10;25;0
2020;12;10;14;0,0411686300234467
2020;12;20;2;0
2020;12;20;3;0,309243670784525
2020;12;20;4;0,151187978219661
2020;12;20;5;0,0767302397419112
2020;12;20;6;0,145866251707351
2020;12;20;11;0,117233294255569
2020;12;20;12;0
2020;12;20;16;0,0911094845367758
2020;12;20;10;0,0578190465295073
2020;12;20;22;0
2020;12;20;28;0
2020;12;20;26;0,224315889414264
2020;12;20;27;0,0303102952898466
2020;12;20;9;0,154193985194054
2020;12;20;30;0
2020;12;20;31;0
2020;12;20;32;0
2020;12;20;8;0
2020;12;20;1;0,110372002553912
2020;12;20;15;0,106401844298635
2020;12;20;24;0,122802440206057
2020;12;20;25;0
2020;12;20;14;0,0713482800234467
2020;12;30;2;0
2020;12;30;3;0,080162481807805
2020;12;30;4;0
2020;12;30;5;0,123368114196535
2020;12;30;6;0,081520942775792
2020;12;30;11;0,117233294255569
2020;12;30;12;0
2020;12;30;16;0,0765884621073505
2020;12;30;10;0,0228922332153008
2020;12;30;22;0,0417634621910156
2020;12;30;28;0,456881781838949
2020;12;30;26;0,173201477735267
2020;12;30;27;0
2020;12;30;9;0,0622290430052417
2020;12;30;30;0
2020;12;30;31;0
2020;12;30;32;0
2020;12;30;8;0
2020;12;30;1;0,06399513475384
2020;12;30;15;0,106401844298635
2020;12;30;24;0,0712024655459915
2020;12;30;25;0
2020;12;30;14;0,0350009000234467
2020;12;40;2;0
2020;12;40;3;0,0174289234544075
2020;12;40;4;0,135108147944969
2020;12;40;5;0,148462724404847
2020;12;40;6;0,0314120533888706
2020;12;40;11;0,117233294255569
2020;12;40;12;0
2020;12;40;16;0,142921648598484
2020;12;40;10;0,00376511507501639
2020;12;40;22;0,0151212535519195
2020;12;40;28;0
2020;12;40;26;0
2020;12;40;27;0
2020;12;40;9;0,0578114003292959
2020;12;40;30;0
2020;12;40;31;0
2020;12;40;32;0
2020;12;40;8;0
2020;12;40;1;0,0189822924772994
2020;12;40;15;0,0354672814328782
2020;12;40;24;0,0211201371994571
2020;12;40;25;0
2020;12;40;14;0,0179936000234467
2020;12;50;2;0
2020;12;50;3;0,138311723734845
2020;12;50;4;0,148000238990927
2020;12;50;5;0
2020;12;50;6;0,0667728681322231
2020;12;50;11;0,117233294255569
2020;12;50;12;0
2020;12;50;16;0,0470259453375475
2020;12;50;10;0,0133954289860456
2020;12;50;22;0,144191953512946
2020;12;50;28;0,475442604226156
2020;12;50;26;0,122204570450935
2020;12;50;27;0,119462869520912
2020;12;50;9;0,0715429062985294
2020;12;50;30;0,046453540594975
2020;12;50;31;0
2020;12;50;32;0
2020;12;50;8;0,0211131342004162
2020;12;50;1;0,0455071233024892
2020;12;50;15;0,0886682035821954
2020;12;50;24;0,0506322768364552
2020;12;50;25;0
2020;12;50;14;0,0287761900234467
2020;12;60;2;0
2020;12;60;3;0,225348975975336
2020;12;60;4;0
2020;12;60;5;0,143847150596618
2020;12;60;6;0,0384188985432882
2020;12;60;11;0,117233294255569
2020;12;60;12;0
2020;12;60;16;0,0535826515100728
2020;12;60;10;0,0123315702930656
2020;12;60;22;1,64929672669864
