"IBGE1";"IBGE2";"SEF";"Municípios";"População bruto";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Número Equipes de Saúde";"Mês";"Ano";"Meio Ambiente";"População";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação"
310010;10;1;"ABADIA DOS DOURADOS";6972;0;0,150510436366765;0;0,0536817692600498;0,0781298006923241;0,117233294255569;0,020525;0,109667488809057;0,0325265451645364;0;0;0;0,619261880350862;0,13769534690563;0;0;0;2;"Dezembro";2020;0;0,0331358395472538;0,0354672814328782;0,0368677006896883;0;0,0411686300234467
310020;20;2;"ABAETÉ";23223;0;0,309243670784525;0,151187978219661;0,0767302397419112;0,145866251707351;0,117233294255569;0;0,0911094845367758;0,0578190465295073;0;0;0,224315889414264;0,0303102952898466;0,154193985194054;0;0;0;6;"Dezembro";2020;0;0,110372002553912;0,106401844298635;0,122802440206057;0;0,0713482800234467
310030;30;3;"ABRE CAMPO";13465;0;0,080162481807805;0;0,123368114196535;0,081520942775792;0,117233294255569;0;0,0765884621073505;0,0228922332153008;0,0417634621910156;0,456881781838949;0,173201477735267;0;0,0622290430052417;0;0;0;6;"Dezembro";2020;0;0,06399513475384;0,106401844298635;0,0712024655459915;0;0,0350009000234467
310040;40;4;"ACAIACA";3994;0;0,0174289234544075;0,135108147944969;0,148462724404847;0,0314120533888706;0,117233294255569;0;0,142921648598484;0,00376511507501639;0,0151212535519195;0;0;0;0,0578114003292959;0;0;0;2;"Dezembro";2020;0;0,0189822924772994;0,0354672814328782;0,0211201371994571;0;0,0179936000234467
310050;50;5;"AÇUCENA";9575;0;0,138311723734845;0,148000238990927;0;0,0667728681322231;0,117233294255569;0;0,0470259453375475;0,0133954289860456;0,144191953512946;0,475442604226156;0,122204570450935;0,119462869520912;0,0715429062985294;0,046453540594975;0;0;5;"Dezembro";2020;0,0211131342004162;0,0455071233024892;0,0886682035821954;0,0506322768364552;0;0,0287761900234467
310060;60;6;"ÁGUA BOA";13600;0;0,225348975975336;0;0,143847150596618;0,0384188985432882;0,117233294255569;0;0,0535826515100728;0,0123315702930656;1,64929672669864;0,475442604226156;0;0;0,237465807734893;0;0;0;7;"Dezembro";2020;0;0,0646367495471388;0,124135485015074;0,0719163409896387;0;0,0311175400234467
310070;70;7;"ÁGUA COMPRIDA";2005;0;0,0839441168078373;0;0,0748487319474736;0,0944892800480489;0,117233294255569;0;0,463444358903704;0,0398022369626561;0;0;0;1,51007208389144;0,116142479815215;0;0;0;1;"Dezembro";2020;0;0,00952916785603039;0,0177336407164391;0,0106023723297225;0;0,0501273400234467
310080;80;8;"AGUANIL";4448;0;0,0396415555366162;0,139862210600211;0;0,0320977747673579;0,117233294255569;0;0,12687601737222;0,0118172833073998;0;0;0;0,110927944555207;0,0658513094350645;0;0,297265160523188;0;2;"Dezembro";2020;0,135107015457789;0,0211400192636524;0,0354672814328782;0,0235208738766112;0;0,0247043000234467
310090;90;9;"ÁGUAS FORMOSAS";19166;0;0,139392190877711;0;0,119122962235335;0,0784400774377444;0,117233294255569;0;0,0465213214956246;0,0205401487037423;0;0;0,170146363473994;0;0,191020644986388;0;0;0;6;"Dezembro";2020;0;0,0910902898397398;0,106401844298635;0,101349161132898;0;0,0361933300234467
310100;100;10;"ÁGUAS VERMELHAS";13477;0;0,214396038550727;0,170208488683592;0,0572095963746204;0,0394892190829385;0,117233294255569;0;0,0538159957567761;0,0124745330676543;0,0518442978922953;0;0;0;0,0931224146544745;0;0,297265160523188;0,436278861877109;6;"Dezembro";2020;0,174808391888606;0,064052167179911;0,106401844298635;0,0712659211409824;0;0,0318622100234467
310110;110;11;"AIMORÉS";25193;0;0,230589412038923;0,161997495982424;0,0573271906117728;0,144903093622075;0,117233294255569;0,011432;0,0850142753283684;0,101852478900435;0;0;0,11021912219517;0;0,257702069013279;0,0334955550429347;0,297265160523188;0;9;"Dezembro";2020;0,150330745224803;0,119734825833902;0,159602766447952;0,133219733717056;0;0,107245790023447
310120;120;12;"AIURUOCA";6032;0;0,110686530697205;0,139969478529507;0,127589747310305;0,0910487533936162;0,117233294255569;0;0,108050507011082;0,0120941642552403;0;0,316961736150771;0;0;0,0554588620317884;0,30417740324949;0,326991676575507;0;2;"Dezembro";2020;0,286866346780461;0,0286682995050251;0,0354672814328782;0,0318970124154044;0;0,0299873700234467
310130;130;13;"ALAGOA";2683;0;0,0276013341417409;0;0,170041266922304;0,0492692993891578;0,117233294255569;0;0,272964949031996;0,00258617326157468;0;0,114220445459737;0;0;0,0291154166462755;0,307559999513512;0;0;1;"Dezembro";2020;0,139786019778891;0,0127514999290422;0,0177336407164391;0,0141876134467059;0;0,0170816700234467
310140;140;14;"ALBERTINA";3003;0;0,00989462497079203;0,133936497924841;0,0881956778642658;0,0778585171256451;0,117233294255569;0;0,215356737407344;0,0151994645199879;0;0;0;0;0,0171679530001125;0;0;0;0;"Dezembro";2020;0;0,014272364624269;0;0,0158797626464621;0;0,0263544000234467
310150;150;15;"ALÉM PARAÍBA";35321;0;0,0869111409335949;0,167520363839013;0,0502891755182044;0,189139837147332;0,117233294255569;0;0,0880580322489687;0,103055766007397;0,315746175357937;0,456881781838949;0,0680350445106647;0,645888715774771;0,0629712317815116;0,0699026699742177;0,297265160523188;0;7;"Dezembro";2020;0,166877778961071;0,16787019343783;0,124135485015074;0,18677625588934;0;0,111363440023447
310160;160;16;"ALFENAS";79481;0,712975652743962;0,145084241756534;0,15197792184241;0,0493895796039889;0,333740983790075;0,117233294255569;0,003311;0,0880420177825264;0,371146274863347;0;0;0,830286052698371;0,791384536967759;0,157930617771525;0,0116268632096707;0,594530321046376;0;19;"Dezembro";2020;0,275498440244373;0,377749521379128;0,336939173612343;0,420292845455696;0;0,349660470023447
310163;163;724;"ALFREDO VASCONCELOS";6831;0;0,0222433078055077;0,169714910395529;0,0801404726193295;0,0663787047425128;0,117233294255569;0;0,111501250011032;0,0129151324933787;0;0,422615648201028;0;0;0,0706351663976318;0;0,297265160523188;0;2;"Dezembro";2020;0,135107015457789;0,0324657085409195;0,0354672814328782;0,0361220974485457;0;0,0282703700234467
310170;170;17;"ALMENARA";41642;0;0,390501957596846;0,376764160876654;0,0714384990700553;0,126692888278617;0,117233294255569;0,000767;0,0403802663422118;0,0338026988383595;0,277042966861953;0;0,316321830436458;0;0,285713504735957;0,0101396231333854;0,297265160523188;0,000939379524092193;12;"Dezembro";2020;0,139800957708605;0,197912023870732;0,212803688597269;0,220201490550774;0;0,0683419000234467
310180;180;18;"ALPERCATA";7411;0;0,0284244660502653;0,249176993424622;0,038806098260277;0,0946505593396629;0,117233294255569;0;0,0587017856302838;0,00828827656574171;0;0;0;0,00101035465267539;0,0170427558522527;0;0;0;3;"Dezembro";2020;0;0,035222275801018;0,0532009221493173;0,0391891178731038;0;0,0239836600234467
310190;190;19;"ALPINÓPOLIS";19745;0;0,07743234243419;0;0,190455626491953;0,190789018003529;0,117233294255569;0,001369;0,110510873020316;0,0701024617620456;0;0;0;0;0,0937498706876725;0;0,297265160523188;0;6;"Dezembro";2020;0,135107015457789;0,0938421043976658;0,106401844298635;0,104410893591207;0;0,0767778400234467
310200;200;20;"ALTEROSA";14414;0;0,0617553436215279;0,206262723413562;0,183023670703924;0,11361881650856;0,117233294255569;0;0,0884262232407855;0,0300179489686526;0;0;0;0,0969365501574864;0,143245812763284;0,00143216411036175;0,297265160523188;0;5;"Dezembro";2020;0,135757934045948;0,0685054491156219;0,0886682035821954;0,0762207455165185;0;0,0476373600234467
310205;205;769;"ALTO CAPARAÓ";5799;0;0,0178225952367453;0,178824579198762;0,106716770215762;0,0811282345351654;0,117233294255569;0;0,122831421291793;0,00750604565598361;0;0,285551113649343;0;0;0,025921515428914;0,309404635650539;0;0;2;"Dezembro";2020;0,14062440690317;0,0275609198988131;0,0354672814328782;0,030664916279332;0;0,0241289800234467
315350;5350;535;"ALTO JEQUITIBÁ";8333;0;0,0258136211561466;0,136207350170732;0,0555867959019179;0,0681399147834584;0,117233294255569;0;0,0692006658855364;0,0125575485559369;0;0;0;0;0,0628600910990236;0,0731620880090575;0;0;3;"Dezembro";2020;0,0332521690001166;0,0396042672041403;0,0532009221493173;0,0440646227549014;0;0,0258107800234467
310210;210;21;"ALTO RIO DOCE";11146;0;0,0881228320039072;0,188021802295356;0;0,0606477282964055;0,117233294255569;0;0,0373445534517973;0,0152780206814094;0,021061746018745;0,475442604226156;0;0;0,139764100240432;0,251782206900968;0,297265160523188;0;5;"Dezembro";2020;0,249542028494279;0,0529736184156183;0,0886682035821954;0,0589396718140083;0;0,0334699400234467
