"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Março";"2020";10;8775,32978164609;0;14816,5575368102;0;9104,10081823314;12513,2649845401;63473,7789832784;20,2052329914167;8283,18487380747;218860,394681137;0;0;0;14627,2156266574;13632,4395390044;0;0;0;0;3472,99562037475;15065,7354705299;0;382645,176539505;-15,48;382629,696539505
"Março";"2020";20;29175,8738238181;0;30442,2623879159;28170,789297978;8519,03109156054;25159,5920203392;63473,1078699411;0;7798,83564046616;442395,676608841;72,6856629691162;0;2363,45747924899;1595,62096828354;14678,7653645197;0;0;0;0;10418,8767003436;50089,9690482912;0;714354,58742183;1558,57;715913,15742183
"Março";"2020";30;16892,7300560948;0;7891,36014536297;0;8740,61857281673;0;63473,7808540953;0;0;152947,153149055;0;0;1919,30136512674;0;7521,55330225817;0;0;0;0;10418,987168212;29001,9188717548;0;298807,397983743;-19,67;298787,727983743
"Março";"2020";40;5014,65561847068;0;1715,67848909787;22951,7176268377;14110,0055256523;7006,16330258725;63471,5350764954;0;13189,579449646;28153,6647326264;129,215754486648;1825,40344222493;0;0;4692,95220455195;0;0;0;0;3472,87284403222;8609,30322888833;0;174342,700058249;1267,48;175610,180058249
"Março";"2020";50;11890,1346485341;0;13615,3270720361;26850,2979582224;5838,28159811172;11758,3785737327;63472,0818348698;0;4494,34313285572;86215,3892570984;218,053464042635;4107,19312500579;1242,57727968489;2202,66195715673;6253,07072511129;2282,11224193667;0;0;2281,88403071248;8682,25690039044;20413,3209555795;0;269535,227914037;1487,05;271022,277914037
"Março";"2020";60;17245,2367074904;0;22183,4135728473;22469,2118963568;10461,2902551453;7383,97776713288;63472,6229328314;0;5568,92693534272;93124,9498506082;9730,1130771072;3946,88589907776;0;0;23661,7109340539;0;10113,0334837039;0;10112,0221803556;12155,2632829886;29607,1123053549;0;331122,741715253;1228,36;332351,101715253
"Março";"2020";70;2509,92769868314;0;8263,63206880006;0;8411,21251383235;19244,1214644805;63473,7806209212;0;46724,7092246044;273437,100987799;0;0;0;26325,6758825646;11447,5363206877;0;21237,7576678292;0;21235,6338920625;1736,49785498955;4309,11517850931;0;487118,991919828;-5,1;487113,891919828
"Março";"2020";80;5632,35683304704;0;3902,23905310077;35851,2956094975;0;4137,53189005604;63471,2193142487;0;9983,45362675574;83639,8222208597;0;0;0;2227,24091896355;6240,53840013611;0;10112,8098464716;0;10111,7985654869;3472,85556696258;9669,79022256195;0;238340,176363223;1985,33;240325,506363223
"Março";"2020";90;24115,7408953734;0;13721,8228351847;22574,7653289086;1022,27727792489;14057,7415224309;63472,7072023851;0;4361,24282544791;139835,871583564;0;0;1575,99394847088;0;18404,0576332055;0;0;0;0;13891,7479096548;41402,5890816587;0;358436,55277385;1238,66;359675,21277385
"Março";"2020";100;16999,0152435057;0;21105,0420896656;29638,8889445559;5753,09771580939;6823,68749926746;63472,1375667435;0;4749,59957455553;103199,69672774;72,6845518350695;0;0;0;10052,6415658769;0;0;4295,68842018244;4299,98410860262;12155,1703334252;29184,3923009947;0;307506,046569947;1635,81;309141,856569947
"Março";"2020";110;31599,2085045812;0;22699,5061278831;29425,8419692746;20573,5046782079;25691,5019599152;63473,2454451705;11,2538018011927;8936,5989787923;628003,598665033;0;3453,55903239078;1311,6943257178;0;21742,3459063532;1645,0583671531;10113,1326680111;0;11757,0152160607;15628,3489242156;54250,4188735841;0;938557,619861065;1613,28;940170,899861065
"Março";"2020";120;7537,15185238977;0;10895,9722410157;22936,6130786243;10455,5730437889;17093,5958978496;63472,3928500602;0;9094,34796860404;88551,5097127119;116,29575067277;2960,15369396817;0;0;5821,59243307234;14953,2721589808;11124,296507315;0;26074,9609094292;3472,91977748855;12939,9964257546;0;281423,069469659;1267,7;282690,769469659
