"Ano";"Mês";"SEF";"Variavel";"Valor";"Cód índ"
2020;"Março";1;"População";8775,32978164609;1
2020;"Março";1;"População dos 50 + Populosos";0;2
2020;"Março";1;"Área Geográfica";14816,5575368102;3
2020;"Março";1;"Educação";0;4
2020;"Março";1;"Patrimônio Cultural";9104,10081823314;5
2020;"Março";1;"Receita Própria";12513,2649845401;6
2020;"Março";1;"Cota Mínima";63473,7789832784;11
2020;"Março";1;"Mineradores";20,2052329914167;12
2020;"Março";1;"Saúde per capita";8283,18487380747;16
2020;"Março";1;"VAF";218860,394681137;10
2020;"Março";1;"Esportes";0;22
2020;"Março";1;"Turismo";0;28
2020;"Março";1;"Penitenciárias";0;26
2020;"Março";1;"Recursos Hídricos";14627,2156266574;27
2020;"Março";1;"Produção de Alimentos";13632,4395390044;9
2020;"Março";1;"Unidades de Conservação (IC i)";0;30
2020;"Março";1;"Saneamento";0;31
2020;"Março";1;"Mata Seca";0;32
2020;"Março";1;"Meio Ambiente";0;8
2020;"Março";1;"PSF";3472,99562037475;15
2020;"Março";1;"ICMS Solidário";15065,7354705299;24
2020;"Março";1;"Índice Mínimo per capita";0;25
2020;"Março";1;"Índice de participação";382645,176539505;17
2020;"Março";1;"Compensações";-15,48;18
2020;"Março";1;"Valor Líquido + Compensações";382629,696539505;19
2020;"Março";2;"População";29175,8738238181;1
2020;"Março";2;"População dos 50 + Populosos";0;2
2020;"Março";2;"Área Geográfica";30442,2623879159;3
2020;"Março";2;"Educação";28170,789297978;4
2020;"Março";2;"Patrimônio Cultural";8519,03109156054;5
2020;"Março";2;"Receita Própria";25159,5920203392;6
2020;"Março";2;"Cota Mínima";63473,1078699411;11
2020;"Março";2;"Mineradores";0;12
2020;"Março";2;"Saúde per capita";7798,83564046616;16
2020;"Março";2;"VAF";442395,676608841;10
2020;"Março";2;"Esportes";72,6856629691162;22
2020;"Março";2;"Turismo";0;28
2020;"Março";2;"Penitenciárias";2363,45747924899;26
2020;"Março";2;"Recursos Hídricos";1595,62096828354;27
2020;"Março";2;"Produção de Alimentos";14678,7653645197;9
2020;"Março";2;"Unidades de Conservação (IC i)";0;30
2020;"Março";2;"Saneamento";0;31
2020;"Março";2;"Mata Seca";0;32
2020;"Março";2;"Meio Ambiente";0;8
2020;"Março";2;"PSF";10418,8767003436;15
2020;"Março";2;"ICMS Solidário";50089,9690482912;24
2020;"Março";2;"Índice Mínimo per capita";0;25
2020;"Março";2;"Índice de participação";714354,58742183;17
2020;"Março";2;"Compensações";1558,57;18
2020;"Março";2;"Valor Líquido + Compensações";715913,15742183;19
2020;"Março";3;"População";16892,7300560948;1
2020;"Março";3;"População dos 50 + Populosos";0;2
2020;"Março";3;"Área Geográfica";7891,36014536297;3
2020;"Março";3;"Educação";0;4
2020;"Março";3;"Patrimônio Cultural";8740,61857281673;5
2020;"Março";3;"Receita Própria";0;6
2020;"Março";3;"Cota Mínima";63473,7808540953;11
2020;"Março";3;"Mineradores";0;12
2020;"Março";3;"Saúde per capita";0;16
2020;"Março";3;"VAF";152947,153149055;10
2020;"Março";3;"Esportes";0;22
2020;"Março";3;"Turismo";0;28
2020;"Março";3;"Penitenciárias";1919,30136512674;26
2020;"Março";3;"Recursos Hídricos";0;27
2020;"Março";3;"Produção de Alimentos";7521,55330225817;9
2020;"Março";3;"Unidades de Conservação (IC i)";0;30
2020;"Março";3;"Saneamento";0;31
2020;"Março";3;"Mata Seca";0;32
2020;"Março";3;"Meio Ambiente";0;8
2020;"Março";3;"PSF";10418,987168212;15
2020;"Março";3;"ICMS Solidário";29001,9188717548;24
2020;"Março";3;"Índice Mínimo per capita";0;25
2020;"Março";3;"Índice de participação";298807,397983743;17
2020;"Março";3;"Compensações";-19,67;18
2020;"Março";3;"Valor Líquido + Compensações";298787,727983743;19
2020;"Março";4;"População";5014,65561847068;1
2020;"Março";4;"População dos 50 + Populosos";0;2
2020;"Março";4;"Área Geográfica";1715,67848909787;3
2020;"Março";4;"Educação";22951,7176268377;4
2020;"Março";4;"Patrimônio Cultural";14110,0055256523;5
2020;"Março";4;"Receita Própria";7006,16330258725;6
2020;"Março";4;"Cota Mínima";63471,5350764954;11
2020;"Março";4;"Mineradores";0;12
2020;"Março";4;"Saúde per capita";13189,579449646;16
2020;"Março";4;"VAF";28153,6647326264;10
2020;"Março";4;"Esportes";129,215754486648;22
2020;"Março";4;"Turismo";1825,40344222493;28
2020;"Março";4;"Penitenciárias";0;26
2020;"Março";4;"Recursos Hídricos";0;27
2020;"Março";4;"Produção de Alimentos";4692,95220455195;9
2020;"Março";4;"Unidades de Conservação (IC i)";0;30
2020;"Março";4;"Saneamento";0;31
2020;"Março";4;"Mata Seca";0;32
2020;"Março";4;"Meio Ambiente";0;8
2020;"Março";4;"PSF";3472,87284403222;15
2020;"Março";4;"ICMS Solidário";8609,30322888833;24
2020;"Março";4;"Índice Mínimo per capita";0;25
2020;"Março";4;"Índice de participação";174342,700058249;17
2020;"Março";4;"Compensações";1267,48;18
2020;"Março";4;"Valor Líquido + Compensações";175610,180058249;19
2020;"Março";5;"População";11890,1346485341;1
2020;"Março";5;"População dos 50 + Populosos";0;2
2020;"Março";5;"Área Geográfica";13615,3270720361;3
2020;"Março";5;"Educação";26850,2979582224;4
2020;"Março";5;"Patrimônio Cultural";5838,28159811172;5
2020;"Março";5;"Receita Própria";11758,3785737327;6
2020;"Março";5;"Cota Mínima";63472,0818348698;11
2020;"Março";5;"Mineradores";0;12
2020;"Março";5;"Saúde per capita";4494,34313285572;16
2020;"Março";5;"VAF";86215,3892570984;10
2020;"Março";5;"Esportes";218,053464042635;22
2020;"Março";5;"Turismo";4107,19312500579;28
2020;"Março";5;"Penitenciárias";1242,57727968489;26
2020;"Março";5;"Recursos Hídricos";2202,66195715673;27
2020;"Março";5;"Produção de Alimentos";6253,07072511129;9
2020;"Março";5;"Unidades de Conservação (IC i)";2282,11224193667;30
2020;"Março";5;"Saneamento";0;31
2020;"Março";5;"Mata Seca";0;32
2020;"Março";5;"Meio Ambiente";2281,88403071248;8
2020;"Março";5;"PSF";8682,25690039044;15
2020;"Março";5;"ICMS Solidário";20413,3209555795;24
2020;"Março";5;"Índice Mínimo per capita";0;25
2020;"Março";5;"Índice de participação";269535,227914037;17
2020;"Março";5;"Compensações";1487,05;18
2020;"Março";5;"Valor Líquido + Compensações";271022,277914037;19
2020;"Março";6;"População";17245,2367074904;1
2020;"Março";6;"População dos 50 + Populosos";0;2
2020;"Março";6;"Área Geográfica";22183,4135728473;3
2020;"Março";6;"Educação";22469,2118963568;4
2020;"Março";6;"Patrimônio Cultural";10461,2902551453;5
2020;"Março";6;"Receita Própria";7383,97776713288;6
2020;"Março";6;"Cota Mínima";63472,6229328314;11
2020;"Março";6;"Mineradores";0;12
2020;"Março";6;"Saúde per capita";5568,92693534272;16
2020;"Março";6;"VAF";93124,9498506082;10
2020;"Março";6;"Esportes";9730,1130771072;22
2020;"Março";6;"Turismo";3946,88589907776;28
2020;"Março";6;"Penitenciárias";0;26
2020;"Março";6;"Recursos Hídricos";0;27
2020;"Março";6;"Produção de Alimentos";23661,7109340539;9
2020;"Março";6;"Unidades de Conservação (IC i)";0;30
2020;"Março";6;"Saneamento";10113,0334837039;31
2020;"Março";6;"Mata Seca";0;32
2020;"Março";6;"Meio Ambiente";10112,0221803556;8
2020;"Março";6;"PSF";12155,2632829886;15
2020;"Março";6;"ICMS Solidário";29607,1123053549;24
2020;"Março";6;"Índice Mínimo per capita";0;25
2020;"Março";6;"Índice de participação";331122,741715253;17
2020;"Março";6;"Compensações";1228,36;18
2020;"Março";6;"Valor Líquido + Compensações";332351,101715253;19
2020;"Março";7;"População";2509,92769868314;1
2020;"Março";7;"População dos 50 + Populosos";0;2
2020;"Março";7;"Área Geográfica";8263,63206880006;3
2020;"Março";7;"Educação";0;4
2020;"Março";7;"Patrimônio Cultural";8411,21251383235;5
2020;"Março";7;"Receita Própria";19244,1214644805;6
2020;"Março";7;"Cota Mínima";63473,7806209212;11
2020;"Março";7;"Mineradores";0;12
2020;"Março";7;"Saúde per capita";46724,7092246044;16
2020;"Março";7;"VAF";273437,100987799;10
2020;"Março";7;"Esportes";0;22
2020;"Março";7;"Turismo";0;28
2020;"Março";7;"Penitenciárias";0;26
2020;"Março";7;"Recursos Hídricos";26325,6758825646;27
2020;"Março";7;"Produção de Alimentos";11447,5363206877;9
2020;"Março";7;"Unidades de Conservação (IC i)";0;30
2020;"Março";7;"Saneamento";21237,7576678292;31
2020;"Março";7;"Mata Seca";0;32
2020;"Março";7;"Meio Ambiente";21235,6338920625;8
2020;"Março";7;"PSF";1736,49785498955;15
2020;"Março";7;"ICMS Solidário";4309,11517850931;24
2020;"Março";7;"Índice Mínimo per capita";0;25
2020;"Março";7;"Índice de participação";487118,991919828;17
2020;"Março";7;"Compensações";-5,1;18
2020;"Março";7;"Valor Líquido + Compensações";487113,891919828;19
2020;"Março";8;"População";5632,35683304704;1
2020;"Março";8;"População dos 50 + Populosos";0;2
2020;"Março";8;"Área Geográfica";3902,23905310077;3
2020;"Março";8;"Educação";35851,2956094975;4
2020;"Março";8;"Patrimônio Cultural";0;5
2020;"Março";8;"Receita Própria";4137,53189005604;6
2020;"Março";8;"Cota Mínima";63471,2193142487;11
2020;"Março";8;"Mineradores";0;12
2020;"Março";8;"Saúde per capita";9983,45362675574;16
2020;"Março";8;"VAF";83639,8222208597;10
2020;"Março";8;"Esportes";0;22
2020;"Março";8;"Turismo";0;28
2020;"Março";8;"Penitenciárias";0;26
2020;"Março";8;"Recursos Hídricos";2227,24091896355;27
2020;"Março";8;"Produção de Alimentos";6240,53840013611;9
2020;"Março";8;"Unidades de Conservação (IC i)";0;30
2020;"Março";8;"Saneamento";10112,8098464716;31
2020;"Março";8;"Mata Seca";0;32
2020;"Março";8;"Meio Ambiente";10111,7985654869;8
2020;"Março";8;"PSF";3472,85556696258;15
2020;"Março";8;"ICMS Solidário";9669,79022256195;24
2020;"Março";8;"Índice Mínimo per capita";0;25
2020;"Março";8;"Índice de participação";238340,176363223;17
2020;"Março";8;"Compensações";1985,33;18
2020;"Março";8;"Valor Líquido + Compensações";240325,506363223;19
2020;"Março";9;"População";24115,7408953734;1
2020;"Março";9;"População dos 50 + Populosos";0;2
2020;"Março";9;"Área Geográfica";13721,8228351847;3
2020;"Março";9;"Educação";22574,7653289086;4
2020;"Março";9;"Patrimônio Cultural";1022,27727792489;5
2020;"Março";9;"Receita Própria";14057,7415224309;6
2020;"Março";9;"Cota Mínima";63472,7072023851;11
2020;"Março";9;"Mineradores";0;12
2020;"Março";9;"Saúde per capita";4361,24282544791;16
2020;"Março";9;"VAF";139835,871583564;10
2020;"Março";9;"Esportes";0;22
2020;"Março";9;"Turismo";0;28
2020;"Março";9;"Penitenciárias";1575,99394847088;26
2020;"Março";9;"Recursos Hídricos";0;27
2020;"Março";9;"Produção de Alimentos";18404,0576332055;9
2020;"Março";9;"Unidades de Conservação (IC i)";0;30
2020;"Março";9;"Saneamento";0;31
2020;"Março";9;"Mata Seca";0;32
2020;"Março";9;"Meio Ambiente";0;8
2020;"Março";9;"PSF";13891,7479096548;15
2020;"Março";9;"ICMS Solidário";41402,5890816587;24
2020;"Março";9;"Índice Mínimo per capita";0;25
2020;"Março";9;"Índice de participação";358436,55277385;17
2020;"Março";9;"Compensações";1238,66;18
2020;"Março";9;"Valor Líquido + Compensações";359675,21277385;19
2020;"Março";10;"População";16999,0152435057;1
2020;"Março";10;"População dos 50 + Populosos";0;2
2020;"Março";10;"Área Geográfica";21105,0420896656;3
2020;"Março";10;"Educação";29638,8889445559;4
2020;"Março";10;"Patrimônio Cultural";5753,09771580939;5
2020;"Março";10;"Receita Própria";6823,68749926746;6
2020;"Março";10;"Cota Mínima";63472,1375667435;11
2020;"Março";10;"Mineradores";0;12
2020;"Março";10;"Saúde per capita";4749,59957455553;16
2020;"Março";10;"VAF";103199,69672774;10
2020;"Março";10;"Esportes";72,6845518350695;22
2020;"Março";10;"Turismo";0;28
2020;"Março";10;"Penitenciárias";0;26
2020;"Março";10;"Recursos Hídricos";0;27
2020;"Março";10;"Produção de Alimentos";10052,6415658769;9
2020;"Março";10;"Unidades de Conservação (IC i)";0;30
2020;"Março";10;"Saneamento";0;31
2020;"Março";10;"Mata Seca";4295,68842018244;32
2020;"Março";10;"Meio Ambiente";4299,98410860262;8
2020;"Março";10;"PSF";12155,1703334252;15
2020;"Março";10;"ICMS Solidário";29184,3923009947;24
2020;"Março";10;"Índice Mínimo per capita";0;25
2020;"Março";10;"Índice de participação";307506,046569947;17
2020;"Março";10;"Compensações";1635,81;18
2020;"Março";10;"Valor Líquido + Compensações";309141,856569947;19
2020;"Março";11;"População";31599,2085045812;1
2020;"Março";11;"População dos 50 + Populosos";0;2
2020;"Março";11;"Área Geográfica";22699,5061278831;3
2020;"Março";11;"Educação";29425,8419692746;4
2020;"Março";11;"Patrimônio Cultural";20573,5046782079;5
2020;"Março";11;"Receita Própria";25691,5019599152;6
2020;"Março";11;"Cota Mínima";63473,2454451705;11
2020;"Março";11;"Mineradores";11,2538018011927;12
2020;"Março";11;"Saúde per capita";8936,5989787923;16
2020;"Março";11;"VAF";628003,598665033;10
2020;"Março";11;"Esportes";0;22
2020;"Março";11;"Turismo";3453,55903239078;28
2020;"Março";11;"Penitenciárias";1311,6943257178;26
2020;"Março";11;"Recursos Hídricos";0;27
2020;"Março";11;"Produção de Alimentos";21742,3459063532;9
2020;"Março";11;"Unidades de Conservação (IC i)";1645,0583671531;30
2020;"Março";11;"Saneamento";10113,1326680111;31
2020;"Março";11;"Mata Seca";0;32
2020;"Março";11;"Meio Ambiente";11757,0152160607;8
2020;"Março";11;"PSF";15628,3489242156;15
2020;"Março";11;"ICMS Solidário";54250,4188735841;24
2020;"Março";11;"Índice Mínimo per capita";0;25
2020;"Março";11;"Índice de participação";938557,619861065;17
2020;"Março";11;"Compensações";1613,28;18
2020;"Março";11;"Valor Líquido + Compensações";940170,899861065;19
2020;"Março";12;"População";7537,15185238977;1
2020;"Março";12;"População dos 50 + Populosos";0;2
2020;"Março";12;"Área Geográfica";10895,9722410157;3
2020;"Março";12;"Educação";22936,6130786243;4
2020;"Março";12;"Patrimônio Cultural";10455,5730437889;5
2020;"Março";12;"Receita Própria";17093,5958978496;6
2020;"Março";12;"Cota Mínima";63472,3928500602;11
2020;"Março";12;"Mineradores";0;12
2020;"Março";12;"Saúde per capita";9094,34796860404;16
2020;"Março";12;"VAF";88551,5097127119;10
2020;"Março";12;"Esportes";116,29575067277;22
2020;"Março";12;"Turismo";2960,15369396817;28
2020;"Março";12;"Penitenciárias";0;26
2020;"Março";12;"Recursos Hídricos";0;27
2020;"Março";12;"Produção de Alimentos";5821,59243307234;9
2020;"Março";12;"Unidades de Conservação (IC i)";14953,2721589808;30
2020;"Março";12;"Saneamento";11124,296507315;31
2020;"Março";12;"Mata Seca";0;32
2020;"Março";12;"Meio Ambiente";26074,9609094292;8
2020;"Março";12;"PSF";3472,91977748855;15
2020;"Março";12;"ICMS Solidário";12939,9964257546;24
2020;"Março";12;"Índice Mínimo per capita";0;25
2020;"Março";12;"Índice de participação";281423,069469659;17
2020;"Março";12;"Compensações";1267,7;18
2020;"Março";12;"Valor Líquido + Compensações";282690,769469659;19
2020;"Março";13;"População";3357,45179590297;1
2020;"Março";13;"População dos 50 + Populosos";0;2
2020;"Março";13;"Área Geográfica";2717,13207243112;3
2020;"Março";13;"Educação";0;4
