Indices;Pesos_ICMS;Pesos_IPI
População;0,027;0,027
População dos 50 + Populosos;0,02;0,02
Área Geográfica;0,01;0,01
Educação;0,02;0,02
Patrimônio Cultural;0,01;0,01
Receita Própria;0,019;0,019
Cota Mínima;0,055;0,055
Mineradores;0,0001;0,0001
Saúde per capita;0,01;0,01
VAF;0,75;0,75
Esportes;0,001;0,001
Turismo;0,001;0,001
Penitenciárias;0,001;0,001
Recursos Hídricos;0,0025;0,0025
Produção de Alimentos;0,01;0,01
Unidades de Conservação (IC i);0,005;0,005
Saneamento;0,005;0,005
Mata Seca;0,001;0,001
Meio Ambiente;0,011;0,011
PSF;0,01;0,01
ICMS Solidário;0,0414;0,0414
Índice Mínimo per capita;0,001;0,001
Índice de participação;1;1
ICMS_total;1;
IPI_total;;1
