"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Novembro";"2021";10;12726,6683762721;0;21561,4263433088;0;10986,1785792811;17625,5597753135;92368,6360262377;29,4031620915647;11988,9576597121;290239,345233193;0;0;0;25527,6332720504;19493,9669492151;0;0;0;0;4857,86576061122;21866,3983668448;0;529271,996814865;-56297,48;472974,516814865
"Novembro";"2021";20;42234,5189478057;0;44300,8125596486;40367,1162843953;12481,3811078935;37226,473391417;92368,6360262377;0;12592,5412053725;645179,630105098;237,274726036351;0;3194,14177486802;7765,97464557316;24451,650101851;0;0;0;0;14573,5972818337;72565,4813059009;0;1049539,26131307;-112657,98;936881,281313073
"Novembro";"2021";30;24421,5429133032;0;11483,7049756736;0;12787,541625657;0;92368,6360262377;0;0;248788,229694183;0;0;3308,21826682759;0;13559,6812123737;0;0;0;0;14573,5972818337;41960,0142226466;0;463251,121034346;46730,07;509981,191034346
"Novembro";"2021";40;7255,25456677573;0;2496,78665730289;32974,3097880972;19231,1525227726;8861,41840386292;92368,6360262377;0;18408,6954688272;44106,4956459775;74,1483518863586;2375,28488494659;0;0;9595,67656678295;0;0;0;0;4857,86576061122;12465,6573047642;0;255071,358269485;-7351,65;247719,708269486
"Novembro";"2021";50;17017,3321936793;0;19813,895406282;35617,2813390322;7248,17225774993;18482,2923600483;92368,6360262377;0;6805,47851439814;111763,533122643;850,852337895965;5344,39099112984;1825,22387135315;1621,6623608419;13199,840379183;3960,51064166144;0;0;3960,11459059727;12144,664401528;29238,4270483303;0;377301,815272846;-20740,44;356561,375272846
"Novembro";"2021";60;24565,0494508033;0;32282,4480768377;0;14396,6643469257;9415,40085172602;92368,6360262377;0;6595,38304930376;151275,440776566;11196,4011348403;5135,75110258723;0;0;37709,0921076222;0;0;0;0;17002,5301621393;42206,5808042881;0;444149,386527689;4654,3;448803,686527689
"Novembro";"2021";70;3618,54459114103;0;12025,4444488871;0;8544,01444921406;32651,5829348367;92368,6360262377;0;64341,2077908776;420224,213963117;0;0;0;30947,342249993;14381,7014615197;0;0;0;0;2428,93288030561;6217,22317253138;0;687748,849620985;111189,73;798938,579620985
"Novembro";"2021";80;8214,38686804203;0;5678,8652034343;39124,9774663427;0;9022,90084278782;92368,6360262377;0;23452,9358647634;127349,193874044;0;0;0;3954,87044225449;6039,28498965333;0;0;0;0;4857,86576061122;14113,5959770015;0;334177,539607417;8641,27;342818,809607417
"Novembro";"2021";90;34962,9155349856;0;19968,6781129144;31639,5335347584;8173,77382308145;20662,7819637624;92368,6360262377;0;7936,00958549108;184987,291968152;0;4750,56976989319;2091,40235259215;0;23391,2327044205;0;0;0;0;19431,4630424449;60071,7341374054;0;510436,010543866;-15640,76;494795,250543866
"Novembro";"2021";100;24703,1063729552;0;30713,3811122845;39463,2782623076;4044,16683929467;17238,8357454556;92368,6360262377;0;6432,98411799271;204637,70947522;0;0;0;0;14797,477016353;0;0;6264,92236161975;6271,18728398137;17002,5301621393;42443,7840980192;0;500117,105805365;56560,56;556677,665805365
