"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Novembro";"2021";10;12726,67;0;21561,43;0;10986,18;17625,56;92368,64;29,4;11988,96;290239,35;0;0;0;25527,63;19493,97;0;0;0;0;4857,87;21866,4;0;529272;-56297,48;472974,52
"Novembro";"2021";20;42234,52;0;44300,81;40367,12;12481,38;37226,47;92368,64;0;12592,54;645179,63;237,27;0;3194,14;7765,97;24451,65;0;0;0;0;14573,6;72565,48;0;1049539,26;-112657,98;936881,28
"Novembro";"2021";30;24421,54;0;11483,7;0;12787,54;0;92368,64;0;0;248788,23;0;0;3308,22;0;13559,68;0;0;0;0;14573,6;41960,01;0;463251,12;46730,07;509981,19
"Novembro";"2021";40;7255,25;0;2496,79;32974,31;19231,15;8861,42;92368,64;0;18408,7;44106,5;74,15;2375,28;0;0;9595,68;0;0;0;0;4857,87;12465,66;0;255071,36;-7351,65;247719,71
"Novembro";"2021";50;17017,33;0;19813,9;35617,28;7248,17;18482,29;92368,64;0;6805,48;111763,53;850,85;5344,39;1825,22;1621,66;13199,84;3960,51;0;0;3960,11;12144,66;29238,43;0;377301,82;-20740,44;356561,38
"Novembro";"2021";60;24565,05;0;32282,45;0;14396,66;9415,4;92368,64;0;6595,38;151275,44;11196,4;5135,75;0;0;37709,09;0;0;0;0;17002,53;42206,58;0;444149,39;4654,3;448803,69
"Novembro";"2021";70;3618,54;0;12025,44;0;8544,01;32651,58;92368,64;0;64341,21;420224,21;0;0;0;30947,34;14381,7;0;0;0;0;2428,93;6217,22;0;687748,85;111189,73;798938,58
"Novembro";"2021";80;8214,39;0;5678,87;39124,98;0;9022,9;92368,64;0;23452,94;127349,19;0;0;0;3954,87;6039,28;0;0;0;0;4857,87;14113,6;0;334177,54;8641,27;342818,81
"Novembro";"2021";90;34962,92;0;19968,68;31639,53;8173,77;20662,78;92368,64;0;7936,01;184987,29;0;4750,57;2091,4;0;23391,23;0;0;0;0;19431,46;60071,73;0;510436,01;-15640,76;494795,25
"Novembro";"2021";100;24703,11;0;30713,38;39463,28;4044,17;17238,84;92368,64;0;6432,98;204637,71;0;0;0;0;14797,48;0;0;6264,92;6271,19;17002,53;42443,78;0;500117,11;56560,56;556677,67
