"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Novembro";"2021";10;12726,66;0;21561,42;0;10986,17;17625,55;92368,63;29,4;11988,95;290239,34;0;0;0;25527,63;19493,96;0;0;0;0;4857,86;21866,39;0;529271,99;-56297,48;472974,51
"Novembro";"2021";20;42234,51;0;44300,81;40367,11;12481,38;37226,47;92368,63;0;12592,54;645179,63;237,27;0;3194,14;7765,97;24451,65;0;0;0;0;14573,59;72565,48;0;1049539,26;-112657,98;936881,28
"Novembro";"2021";30;24421,54;0;11483,7;0;12787,54;0;92368,63;0;0;248788,22;0;0;3308,21;0;13559,68;0;0;0;0;14573,59;41960,01;0;463251,12;46730,07;509981,19
"Novembro";"2021";40;7255,25;0;2496,78;32974,3;19231,15;8861,41;92368,63;0;18408,69;44106,49;74,14;2375,28;0;0;9595,67;0;0;0;0;4857,86;12465,65;0;255071,35;-7351,65;247719,7
"Novembro";"2021";50;17017,33;0;19813,89;35617,28;7248,17;18482,29;92368,63;0;6805,47;111763,53;850,85;5344,39;1825,22;1621,66;13199,84;3960,51;0;0;3960,11;12144,66;29238,42;0;377301,81;-20740,44;356561,37
"Novembro";"2021";60;24565,04;0;32282,44;0;14396,66;9415,4;92368,63;0;6595,38;151275,44;11196,4;5135,75;0;0;37709,09;0;0;0;0;17002,53;42206,58;0;444149,38;4654,3;448803,68
"Novembro";"2021";70;3618,54;0;12025,44;0;8544,01;32651,58;92368,63;0;64341,2;420224,21;0;0;0;30947,34;14381,7;0;0;0;0;2428,93;6217,22;0;687748,84;111189,73;798938,57
"Novembro";"2021";80;8214,38;0;5678,86;39124,97;0;9022,9;92368,63;0;23452,93;127349,19;0;0;0;3954,87;6039,28;0;0;0;0;4857,86;14113,59;0;334177,53;8641,27;342818,8
"Novembro";"2021";90;34962,91;0;19968,67;31639,53;8173,77;20662,78;92368,63;0;7936;184987,29;0;4750,56;2091,4;0;23391,23;0;0;0;0;19431,46;60071,73;0;510436,01;-15640,76;494795,25
"Novembro";"2021";100;24703,1;0;30713,38;39463,27;4044,16;17238,83;92368,63;0;6432,98;204637,7;0;0;0;0;14797,47;0;0;6264,92;6271,18;17002,53;42443,78;0;500117,1;56560,56;556677,66
"Novembro";"2021";110;45669,59;0;33033,16;44510,7;24870,2;36286,64;92368,63;16,37;14463,73;924600,17;0;0;2205,47;0;34132,94;2854,87;51162,62;0;54012,1;21860,39;78467,47;0;1406497,65;66935,19;1473432,84
"Novembro";"2021";120;10855,63;0;15856,43;32350,92;15058,82;24125,58;92368,63;0;15756,34;121108,17;200,2;3851,81;0;0;8433,39;25418,07;0;0;25415,52;4857,86;18651,66;0;388891,05;-28312,74;360578,31
"Novembro";"2021";130;4841,07;0;3954,03;31010,18;19464,68;9179,82;92368,63;0;39799,7;43313,33;0;1283,93;0;0;4491,37;46901,97;0;0;46897,28;2428,93;8317,72;0;307350,74;12677,46;320028,2
"Novembro";"2021";140;5469,59;0;1417,45;35267,03;19494,59;20926,84;92368,63;0;30750,3;79123,23;0;0;0;0;2344,82;0;0;0;0;2428,93;9397,61;0;298989,07;-31671,03;267318,04
"Novembro";"2021";150;64307,27;0;12450,48;46714,57;6944,14;56258,67;92368,63;0;10963,92;825542,52;3484,97;5135,75;2737,83;8168,71;11178,68;5961,29;25581,31;0;31539,45;17002,53;110489,91;0;1305288,13;-154621,75;1150666,38
